اشکبار	'aSkbAr
دامنه‌دار	dAmanedAr
طائفی	tA'efi
رهنوردی	rahnavardi
اختفا	'extefA
برنشیت	boronSit
گیلانی	gilAni
فجور	fujur
انگیختگی	'angixtegi
پورکاظمی	purkAzemi
الکترومکانیکی	'elekteromekAniki
اینجانب	'injAneb
ناهمسانی	nAhamsAni
عروسکی	'arusaki
کرجی	karaji
نشخوارکنندگان	noSxArkonandegAn
مترقب	moteraqqeb
ثالثه	sAlese
طیبات	tayyebAt
استامپ	'estAmp
معجزه‌آسا	mo'jeze'AsA
حاشیه	hASiye
لکوموتیوران	lokomotivrAn
آفریقایی‌تبار	'AfriqAyitabAr
مدیست	modist
عاطف	'Atef
لوئیس	lu'is
کورمار	kurmAr
بهشتی	beheSti
بایر	bAyer
تکاملی	takAmoli
موبور	mubur
بادی‌گارد	bAdigArd
هیچگاه	hiCgAh
گذرنامه‌ای	gozarnAme'i
مهرشهر	mehrSahr
آتشگاه	'AtaSgAh
ریش‌تراش	riStarAS
رنگ‌سنجی	rangsanji
مهمان‌پذیر	mehmAnpazir
شایستگی	SAyestegi
کریستوفر	keriftofer
حایز	hAyez
سرخانه	sarxAne
کاردانی	kArdAni
تجری	tajarri
ملی‌گرایی	melligerAyi
تارتنک	tArtanak
شهرک	Sahrak
دک	dak
ضحی	zohA
اندوز	'anduz
نازکش	nAzkeS
ولی	vali
رئوفی	ra'ufi
خودجوش	xodjuS
قشو	qaSow
طپش	tapeS
قطران	qatrAn
گن	gen
اداره‌ای	'edAre'i
استیکی	'esteyki
ارگ	'arg
افزودنی	'afzudani
نگاره	negAre
زین‌پوش	zinpuS
اکتوپی	'ektopi
خشت‌انداز	xeStandAz
بافنده	bAfande
الکساندر	'aleksAnder
خلق‌شده	xalqSode
تمتع	tamatto'
اعتراضیه	'e'terAziyye
یونش	yoneS
آبرودار	'AbrudAr
تندرویی	tondruyi
افتتاحیه	'eftetAhiyye
آبزا	'AbzA
درمانگر	darmAngar
بیروتی	beyruti
توارث	tavAros
حاضری	hAzeri
ناودیس	nAvdis
طغرل‌‌بیک	toqrolbeyk
روان‌نژندی	ravAnnaZandi
کلهو	kalhu
دختر‌خوانده	doxtarxAnde
حنظل	hanzal
بازار	bAzAr
گاوچران	gAvCerAn
شاطرزاده	SAterzAde
لاغر	lAqar
الفبایی	'alefbAyi
حصر	hasr
اسکنبیل	'eskambil
مقاوله‌نامه	moqAvelenAme
گنجانیده	gonjAnide
آشکارا	'ASkArA
طنازی	tannAzi
روبل	rubl
خستگی‌ناپذیری	xasteginApaziri
آکسان	'AksAn
باسوتو	bAsuto
زورمند	zurmand
ضیا	ziyA
بلندپروازانه	bolandparvAzAne
قدم	qadam
دلبستگی	delbastegi
نیکو‌سخن	nikusoxan
بوئین‌زهرا	bu'inzahrA
قلمستان	qalamestAn
دو‌برابر	dobarAbar
توفان	tufAn
پیچ‌خوردگی	piCxordegi
پراندوه	por'anduh
هنگامه‌جو	hengAmeju
مین‌جمع‌کن	minjam'kon
ترم	term
قندریزی	qandrizi
جای‌جای	jAyjAy
ناموثق	nAmovasseq
هم‌قسم	hamqesm
خریدار	xaridAr
واخواه	vAxAh
ناروایی	nAravAyi
ملیکا	melikA
قزان	qazAn
لزوم	lozum
موظف	movazzaf
احتیاط	'ehtiyAt
سحر‌انگیز	sehr'angiz
بیوه	bive
ناتورالیسم	nAturAlism
هم‌پیمان	hampeymAn
آبده	'Abdeh
مقطعی	maqta'i
استغنا	'esteqnA
حزم	hazm
منقش	monaqqaS
نورمحمد	nurmohammad
تفال	tefAl
شرفی	Sarafi
عبرانی	'ebrAni
کچوله	koCule
زیری	ziri
تصنیف‌خوان	tasnifxAn
لمور	lemor
نکبت	nekbat
دموکراتی	demokrAti
فجار	fojjAr
چهارگوش	CAhArguS
تیزر	tizer
خاطر‌ه‌نویسی	xAterenevisi
گواه	govAh
نا‌آرامی	nA'ArAmi
دیزلی	dizeli
سه‌‌ساله	sesAle
جاده‌صاف‌کن	jAddesAfkon
مهدورالدم	mahduroddam
پتروویچ	petroviC
اسیدوفیل	'asidofil
کایون	kAyot
لامپی	lAmpi
باریک	bArik
خرده‌خرده	xordexorde
گلرخ	golrox
اسم‌گذاری	'esmgozAri
ملکه	malake
زبان	zabAn
مزدا	mazdA
ایلئوم	'ile'om
بالنفسه	bennafse
مکث	maks
چند‌ماهه	CandmAhe
بادکنک	bAdkonak
کابین	kAbin
آتش‌پاره	'AtaSpAre
خانگی	xAnegi
تیزه	tize
فولکس	fuleks
ادیبانه	'adibAne
تراشنده	tarASande
جواسیس	javAsis
منسک	mansek
مادون‌قرمز	mAduneqermez
شکوفه	Sokufe
قربانپور	qorbAnpur
القاگر	'elqAgar
اتان	'etAn
پهلوی	pahlavi
با‌کمک	bAkomake
زلزله‌نگار	zelzelenegAr
دانشجویی	dAneSjuyi
فداکاری	fadAkAri
پایانه	pAyAne
مخروطی‌شکل	maxrutiSekl
ابررسانا	'abarresAnA
بالعکس	bel'aks
غیرباردار	qeyrebArdAr
مصلحت‌گرا	maslehatgerA
اشتلم	'oStolom
قدغن	qadeqan
سوربن	surbon
باجگیر	bAjgir
مستخرج	mostaxraj
حاشیه‌نشینی	hASiyeneSini
جلیل	jalil
سیاهه	siyAhe
عماد	'emAd
حملات	hamalAt
بیت‌الحرام	beytolharAm
پرورشی	parvareSi
چرغ	Carq
توریست	turist
آرواره‌داران	'ArvAredArAn
خواص	xavAss
محکوم	mahkum
پرویزیان	parviziyAn
کتبی	katbi
سفیدبخت	sefidbaxt
غیرعادلانه	qeyre'AdelAne
بی‌بروبرگرد	biborobargard
تمشیت	tamSiyyat
خودسرانه	xodsarAne
جنبه	janbe
مهرورزی	mehrvarzi
کولایی	kolAyi
نوساخته	nowsAxte
باروح	bAruh
ضد‌‌صهیونیستی	zeddesahyunisti
لاقیدی	lAqeydi
توان	tavAn
لگدمال	lagadmAl
امام‌خمینی	'emAmxomeyni
شتاب‌سنج	SetAbsanj
شامه	SAmme
قیمت	qeymat
انحصارگرایانه	'enhesArgerAyAne
کاشی‌‌ساز	kASisAz
عربی‌‌زبان	'arabizabAn
القاضی	'alqAzi
نشادر	noSAdor
آشامیدنی	'ASAmidani
شکفت	Sekoft
گردوخاکی	gardoxAki
آراد	'ArAd
قنوات	qanavAt
عطری	'atri
النهار	'annahAr
تعجب	ta'ajjob
آسیب‌شناس	'AsibSenAs
بربریت	barbariyyat
اوت	'owt
تجرد	tajarrod
اشعری	'aS'ari
نزدیک	nazdik
دین‌باور	dinbAvar
استیلاء	'estilA
کاپیتولاسیون	kApitolAsiyon
برانگیخته	barangixte
پایه‌دار	pAyedAr
اعیان	'a'yAn
ریشه‌یابی	riSeyAbi
شعله	So'le
هشت	haSt
گلین	gelin
تنقلات	tanaqqolAt
عوض	'avaz
راک	rAk
سانتیمانتال	sAntimAntAl
لند	land
رسانایی	resAnAyi
باحال	bAhAl
باباقوری	bAbAquri
آبگاه	'AbgAh
سولماز	solmAz
جدایی‌طلب	jodAyitalab
ارز	'arz
نامدار	nAmdAr
جستجوگری	jostejugari
تبعید‌شده	tab'idSode
پایا	pAyA
عدمی	'adami
محمولات	mahmulAt
مسقط	masqat
بومهن	bumehen
تفریط	tafrit
خزاعی	xozA'i
شانه‌‌به‌‌سر	SAnebesar
آتش‌کوه	'AtaSkuh
تنویر	tanvir
هواگیری	havAgiri
رقیه	roqayye
سریم	seryom
عبادات	'ebAdAt
دغلکار	daqalkAr
تپق	topoq
توتالیتاریسم	totAlitArism
هر‌ازگاهی	harazgAhi
منصف‌الزاویه	monassefozzAviye
تبعه	taba'e
تقریب	taqrib
غرب‌‌گرا	qarbgerA
نعره‌زنان	na'rezanAn
شهسواری	SahsavAri
استمراری	'estemrAri
ورسک	veresk
وسائل	vasA'el
تمرهندی	tamrehendi
فوتسال	futsAl
وظیفه‌ای	vazife'i
پونز	punez
خورش	xoreS
اینچی	'inCi
دارستانی	dArestAni
میکانیکی	mikAniki
راهپیمائی	rAhpeymA'i
خصومت	xosumat
پس‌پریشب	paspariSab
پروانه‌وار	parvAnevAr
لگد	lagad
زودگیر	zudgir
تفوه	tafavvoh
سربها	sarbahA
اندک‌ا‌ندک	'andak'andak
گوگرد	gugerd
هسر	hasar
جوربالان	jurbAlAn
حسنه	hasane
پالئولیتیک	pAle'olitik
ملول	malul
خطابت	xatAbat
مکان‌یابی	makAnyAbi
کششی	keSeSi
زیرچشمی	zirCeSmi
تحف	tohaf
قیمومیت	qimumiyyat
میراث‌خوار	mirAsxAr
دردی	dordi
رباینده	robAyande
ضریب	zarib
بچه‌خرس	baCCexers
القاء	'elqA
سپرده‌گذاری	sepordegozAri
برگزین	bargozin
آنتی‌اکسیدان	'Anti'oksidAn
نیستی	nisti
روپوش	rupuS
مسترد	mostared
پول	pul
مرکبات	morakkabAt
اتحادیه‌ای	'ettehAdiyye'i
بسامد	basAmad
کوته‌نوشت	kutahneveSt
طوماری	tumAri
غوچ	quC
خزینه‌دار	xazinedAr
تاریخ‌نگار	tArixnegAr
اشرف‌الدین	'aSrafoddin
استحقاق	'estehqAq
فراهم‌‌شده	farAhamSode
صفویه	safaviyye
بهکده	behkade
میرمحمد	mirmohammad
سعادتمندانه	sa'AdatmandAne
تقلیدگر	taqlidgar
پیریمیدین	pirimidin
کاظمی	kAzemi
شایعه	SAye'e
مهمه	mahmah
الاکلنگ	'allAkolang
پرانرژی	por'enerZi
کارت‌‌پستال	kArtpostAl
خداوندا	xodAvandA
هر‌روزه	harruze
یه	ye
آب‌شیرین‌کن	'AbSirinkon
بی‌عیب‌و‌نقص	bi'eybonaqs
ایقاعی	'iqA'i
کشمکش	keSmakeS
خورخور	xorxor
لیتیم	litiyom
تقلیل	taqlil
حواس	havAss
مشیمه	maSime
جدا‌شدنی	jodASodani
دلهره‌آور	delhore'Avar
سرگرانی	sargerAni
نداده	nadAde
عزرائیل	'ezrA'il
دریا	daryA
طناب	tanAb
بااستعداد	bA'este'dAd
بطری	botri
کارفرمایی	kArfarmAyi
افشاسازی	'efSAsAzi
شتربان	SotorbAn
شست	Sast
محق	moheqq
اصول‌گرا	'osulgarA
سراچه	sarACe
پراکنده	parAkande
لازیکا	lAzikA
روزه‌دار	ruzedAr
پرسنل	personel
پی‌ریزی	peyrizi
بهتان	bohtAn
غزارت	qazArat
مقاومت	moqAvemat
عقب	'aqab
ملال‌آور	malAlAvar
فکها	fokhA
ضمانت‌نامه	zemAnatnAme
ماه‌سلطان	mAhsoltAn
هماورد	hamAvard
پهن‌برگ	pahnbarg
به‌سادگی	besAdegi
سگاله	sagAle
تایم	tAim
کمره‌‌ای	kamare'i
بی‌وقت	bivaqt
پلت	palat
صعب‌‌العلاج	sa'bol'alAj
صفحه‌ای	safhe'i
آهیخت	'Ahixt
پیپ	pip
اقتصاد‌سنجی	'eqtesAdsanji
فلمینگ	feleming
همگانی	hamegAni
شاهرگ	SAhrag
نوبنیاد	nowbonyAd
فرایض	farAyez
آیا	'AyA
پرعمق	por'omq
مجال	majAl
مهرگان	mehregAn
بازیار	bAzyAr
سیاه‌تخمه	siyAhtoxme
روغن‌دار	rowqandAr
دگرسازی	degarsAzi
ساربان	sArebAn
راشی‌تیسم	rASitism
جهانشاه	jahAnSAh
مقنی	moqanni
واریته	vAriyete
گاهواره	gAhvAre
نادرپور	nAderpur
سمبه	sombe
چندنژادی	CandneZAdi
غفران	qofrAn
بزن	bezan
رحلی	rahli
سرگروهبانی	sarguruhbAni
قطعه‌ساز	qet'esAz
ساحری	sAheri
بلعنده	bal'ande
دهور	duhur
خطا‌ناپذیر	xatAnApazir
ارشادی	'erSAdi
شاغول	SAqul
دکتری	doktori
پراکندگی	parAkandegi
الکلی	'alkoli
پنتوز	pentoz
جامدات	jAmedAt
میانجیگر	miyAnjigar
آسوریک	'Asurik
بشخصه	beSaxse
زالزالک	zAlzAlak
تفریح	tafrih
مروان	marvAn
میانه	miyAne
معروفیت	ma'rufiyyat
آهاری	'AhAri
شریعت‌‌پناهی	Sari'atpanAhi
غیراز	qeyr'az
اغماء	'eqmA
ایلخانیان	'ilxAniyAn
صوابدید	savAbdid
گیره	gire
برف‌گیر	barfgir
من‌من	menmen
دموگرافیک	demogerAfik
شهرآرا	SahrArA
میخکش	mixkeS
محمدیار	mohammadyAr
مجلات	majallAt
سیدالسادات	seyyedossAdAt
دیرباز	dirbAz
مساحت	masAhat
ارسی‌دوز	'orosiduz
تهلکه	tahloke
ابیض	'abyaz
شائق	SA'eq
پسان‌پریروز	pasAnpariruz
ویروس‌شناسی	virusSenAsi
خودنویس	xodnevis
گناهکاری	gonAhkAri
مزدوران	mozdurAn
کی	key
شیخ‌نشین	SeyxneSin
دنبک	dombak
جارو	jAru
قصابی	qassAbi
لته	late
قصی	qasiyy
گوهرشاد	gowharSAd
تعقیب	ta'qib
کیلو‌‌ولت	kiluvolt
میمندی‌نژاد	meymandineZAd
تنه	tane
مش	maS
خارسران	xArsarAn
شرطه	Sorte
پلاسمولیز	pelAsmoliz
قطب‌بندی	qotbbandi
پیغمبرزاده	peyqambarzAde
کم‌‌خطر	kamxatar
اطلاعیه‌ای	'ettelA'iyye'i
علت‌‌یابی	'ellatyAbi
اعزام	'e'zAm
عبدالرضا	'abdorrezA
اثرگذاری	'asargozAri
میهمان‌نوازی	mihmAnnavAzi
آهنگین	'Ahangin
مراجعات	morAje'At
هموگلوبین	hemogolobin
توهم	tavahhom
هونگ	havang
مستوفی‌الممالک	mostowfiyolmamAlek
خمپاره‌ای	xompAre'i
ع	'e
مکش	makeS
جنجال‌آفرینی	janjAlAfarini
نشانه	neSAne
ژاکت	ZAkat
جناق	jenAq
نوغاندار	nowqAndAr
دور‌و‌دراز	duroderAz
دم	dam
ژاکلین	ZAklin
پیسی	pisi
زوال	zavAl
ذوزنقه	zuzanaqe
همدلی	hamdeli
امدادگر	'emdAdgar
پارچه‌فروشی	pArCefuruSi
تلون	talavvon
یوونتوس	yuventus
روزنه	rowzane
نمک‌آبرود	namakAbrud
اشتر	'aStar
خند	xand
سنت‌‌پترزبورگ	sanpeterzburg
بازیگوش	bAziguS
عیان	'ayAn
ناهمگن	nAhamgen
لنگر	langar
مردم‌شناس	mardomSenAs
خوش‌شانسی	xoSSAnsi
بذرکار	bazrkAr
شریفیان	SarifiyAn
تهاجمی	tahAjomi
گردشگر	gardeSgar
توتن	tuton
آمار	'AmAr
ورزش	varzeS
اصالت	'esAlat
شلاق‌‌زنی	SallAqzani
نفاق‌آمیز	nefAqAmiz
ضخیم	zaxim
راحت‌‌طلب	rAhattalab
گشا	goSA
کلامی	kalAmi
مفتش	mofatteS
هم‌صدا	hamsedA
فرویدیسم	feroydism
عنابی	'annAbi
صنفی	senfi
رییس	ra'is
بادنجان	bAdenjAn
فرهنگ‌پرور	farhangparvar
تجویز	tajviz
میرعلایی	mir'alAyi
عطرانگیز	'atrangiz
بزرگراهی	bozorgrAhi
علی‌‌مردان	'alimardAn
فرمان‌‌آرا	farmAnArA
حاجات	hAjAt
پنج‌سالگی	panjsAlegi
لوزه	lowze
چیت	Cit
هنربخش	honarbaxS
دولاب	dulAb
از‌دست‌رفته	'azdastrafte
نی‌زار	neyzAr
دینام	dinAm
مست	mast
پربرگ	porbarg
بدنه	badane
اطریش	'otriS
کم‌‌بضاعت	kambezA'at
سررشته‌داری	sarreStedAri
بازگشایی	bAzgoSAyi
پوشبرگ	puSbarg
گلسازی	golsAzi
پرثمر	porsamar
مالکانه	mAlekAne
زرورق	zarvaraq
رفتگر	roftegar
قره‌‌داغ	qaredAq
سوتین	sutiyan
کلنل	kolonel
امتلا	'emtelA
حضرت	hazrat
دیده‌ور	didevar
فکاهی‌‌نویس	fokAhinevis
کلاس‌‌بندی	kelAsbandi
نکوهش	nekuheS
واکسی	vAksi
کسادی	kesAdi
زهرآلود	zahrAlud
کاپیتن	kApiten
پژمردگی	paZmordegi
معاملات	mo'AmelAt
مجهول	majhul
دودلی	dodeli
شهلا	SahlA
مفردات	mofradAt
راکتور	rAktor
با‌اخلاص	bA'exlAs
فاروج	fAruj
ایرج	'iraj
آفرین	'Afarin
الاغ	'olAq
صیرفی	seyrafi
ملیحه	malihe
مکسر	mokassar
تیرچه	tirCe
اعتمادالدوله	'e'temAdoddowle
بدرود	bedrud
تحویل‌شده	tahvilSode
بلاگردان	balAgardAn
صحنه‌ای	sahne'i
تصریف	tasrif
سایه‌نشین	sAyeneSin
محرکه	moharreke
پدید‌آورنده	padidAvarande
بلوط	balut
ملا	mollA
تنگ‌روزی	tangruzi
خوشخو	xoSxu
کنسرو	konserv
زیپلن	ziplen
محاسباتی	mohAsebAti
زنبوردار	zanburdAr
بالماسکه	bAlmAske
تفصیلی	tafsili
باطنیه	bAteniyye
ارتجاعی	'ertejA'i
اسدی	'asadi
سبز	sabz
پلیکا	polikA
برمور	boromur
مداد‌تراش	medAdtarAS
میخوش	meyxoS
مجازات	mojAzAt
مصطبه	mastabe
کیفر	keyfar
تابناک	tAbnAk
انواری	'anvAri
غم‌پرور	qamparvar
میثمی	meysami
کامروز	kAmruz
مسخر	mosaxxar
اندوهگین	'anduhgin
شب‌هنگام	SabhengAm
دامپزشکی	dAmpezeSki
دو‌کابین	dokAbin
هفتگی	haftegi
درانداز	darandAz
سربه‌راه	sarberAh
جنتیان	jannatiyAn
کبودر‌‌آهنگ	kabudarAhang
آب‌خاکی	'AbxAki
مارس	mArs
رادمرد	rAdmard
گرمایونی	garmAyoni
راهنما	rAhnamA
شاکله	SAkele
آپاندیسیت	'ApAndisit
کیان‌‌تایر	kiyAntAyer
ایتریم	'iteryom
انگارید	'engArid
هفت‌سالگی	haftsAlegi
کشاند	keSAnd
اسب‌ریس	'asbris
مانع	mAne'
تفتیش	taftiS
پاسارگاد	pAsArgAd
داغی	dAqi
کوتاه	kutAh
دهلی	dehli
توانمندی	tavAnmandi
فقیری	faqiri
زیربنایی	zirbanAyi
لواف	lavvAf
مالدینی	mAldini
رباخوار	rebAxAr
تاریخ‌نویسی	tArixnevisi
آسک	'Ask
برگرداننده	bargardAnande
دسپوتیسم	despotism
پرده‌پوش	pardepuS
پرواپیشه	parvApiSe
پراستقامت	por'esteqAmat
هیدروالکتریکی	hidro'elekteriki
کنتراست	kontrAst
ضیمران	zaymorAn
شیوه‌ای	Sive'i
چهاررقمی	CAhArraqami
حجب	hojb
ریسندگی	risandegi
برین	barin
بی‌احتیاطی	bi'ehtiyAti
گنجفه	ganjafe
غ	qe
جلالت‌مآب	jalAlatmo'Ab
اتومبیل	'otomobil
غنی‌آباد	qani'AbAd
خراشید	xarASid
مهمیز	mehmiz
گمراه‌سازی	gomrAhsAzi
قر	qer
پایکوه	pAykuh
تسلیمی	taslimi
منشی‌گری	monSigari
اقتصاددان	'eqtesAddAn
محیط‌زیستی	mohitezisti
تورنتو	torento
گوگوش	guguS
توطئه‌گری	towte'egari
قفل‌‌دار	qofldAr
اشترک	'eStorak
نشسته	naSoste
احتکار	'ehtekAr
کامبرا	kAmberA
الحاد	'elhAd
چامه	CAme
کیلوهرتز	kiluhertz
گیجگاه	gijgAh
آستیگمات	'AstigmAt
قطبی	qotbi
خنده	xande
بچه‌باز	baCCebAz
فرعونی	fer'owni
طلعت	tal'at
گیر	gir
صاحب‌‌الامر	sAhebol'amr
عناق	'annAq
صدف	sadaf
خسروشهر	xosrowSahr
نجواگر	najvAgar
دیلمی	deylami
بعدی	ba'di
الجزیره	'aljazire
نشریات	naSriyyAt
چوبدار	CubdAr
گرم	garm
جاه	jAh
مسلمی	moslemi
جاسوسی	jAsusi
دم‌بریده	domboride
شکسته‌بسته	Sekastebaste
بالفعل	belfe'l
مقابله‌به‌مثل	moqAbelebemesl
کودکی	kudaki
مدرسی	madrasi
بنائی	bannA'i
غره	qarre
تکمه	tokme
احباب	'ahbAb
کارتونی	kArtoni
کشان‌‌کشان	keSAnkeSAn
ریزبافت	rizbAf
خودآرایی	xodArAyi
صادق‌زاده	sAdeqzAde
مکاتبه	mokAtebe
مرحله‌ای	marhale'i
ختام	xetAm
دفن	dafn
جذاب	jazzAb
دودل	dodel
فیاضی	fayyAzi
خاتون‌آبادی	xAtunAbAdi
مربوب	marbub
اخباری	'axbAri
فاعل	fA'el
صف‌‌بندی	safbandi
زراعتی	zerA'ati
خواهرخوانده	xAharxAnde
گاندی	gAndi
بینا‌بینی	beynAbeyni
بنگاب	bangAb
قابله	qAbele
چلان	CelAn
افسانه‌ای	'afsAne'i
ودادی	vedAdi
منضم	monzamm
سکولاریسم	sekolArism
کم‌‌صبر	kamsabr
آزاد	'AzAd
شوریده‌بخت	Suridebaxt
ماهپاره	mAhpAre
کمپرس	komperes
اعزامی	'e'zAmi
کشمشی	keSmeSi
جزا	jazA
کورتکس	korteks
غیر‌‌دائمی	qeyredA'emi
هرتس	herts
الشراع	'aSSerA'
زیردستی	zirdasti
زمین‌به‌زمین	zaminbezamin
استروژنی	'esteroZeni
تراجم	tarAjom
ممانعتی	momAne'ati
بی‌مشتری	bimoStari
هیدرونیوم	hidroniyom
هم‌طراز	hamtarAz
هرزگی	harzegi
واخواست	vAxAst
رنگ‌پریدگی	rangparidegi
نامترقب	nAmoteraqqeb
ساکارات	sAkArAt
لانتانید	lAntAnid
رطوبت	rotubat
توصیه‌نامه	towsiyenAme
لیف	lif
تعمیرکننده	ta'mirkonande
اسفنج	'esfanj
خنک‌کن	xonakkon
اموات	'amvAt
افلاک‌نما	'aflAknamA
ممکن‌الوجود	momkenolvojud
دست‌دوز	dastduz
بادنجانی	bAdemjAni
رمزینه	ramzine
یکتایی	yektAyi
شهبازیان	SahbAziyAn
اختراعی	'exterA'i
عبدالوهاب	'abdolvahhAb
قطب	qotb
آتشنشانی	'AtaSneSAni
کتری	ketri
کوهک	kuhak
پروا	parvA
شناسا	SenAsA
سایبان	sAyebAn
منافق	monAfeq
قزلو	qezellu
قبایلی	qabAyeli
صنعتی‌‌سازی	san'atisAzi
خیام‌شناسی	xayyAmSenAsi
ونیز	veniz
حصیربافی	hasirbAfi
کیلوگرم	kilugeram
هواپرست	havAparast
احمد‌شاهی	'ahmadSAhi
خباز	xabbAz
کنش‌‌گر	koneSgar
در‌پس	darpase
پاکت	pAkat
کانتینری	kAntineri
مثل	masal
برامکه	barAmake
تبعیدگاه	tab'idgAh
سکته‌ای	sekte'i
اسمیم	'osmiyom
مهاتما	mohAtmA
ایماژیست	'imAZist
خاورشناسی	xAvarSenAsi
اقاقی	'aqAqi
سرپوش	sarpuS
مسقف	mosaqqaf
سنکپ	sankop
فکوری	fakuri
بوئینگ	bu'ing
تفسیر	tafsir
امین‌الله	'aminollAh
خاصیت	xAsiyyat
محافظه‌کاری	mohAfezekAri
فرکانس	ferekAns
تاج‌الدین	tAjeddin
وفادارانه	vafAdArAne
صناعی	sanA'i
شاه‌بالا	SAhbAlA
ادب‌دوست	'adabdust
خوشنویسان	xoSnevisAn
مدرسه‌سازی	madresesAzi
مژگان	moZgAn
صفار	saffAr
جوان‌بخت	javAnbaxt
فوریت	foriyyat
قدس‌سره	qoddesaserroh
آواز	'AvAz
فرتوتی	fartuti
سرنامه	sarnAme
عاشق‌‌کش	'ASeqkoS
پرهیزگار	parhizgAr
بالکان	bAlkAn
نوشید	nuSid
دست‌بوس	dastbus
اعتماد‌سازی	'e'temAdsAzi
ایروان	'iravAn
چاشت	CASt
روز	ruz
لایه‌بندی	lAyebandi
کفائی	kafA'i
بلوارسازی	bolvArsAzi
قریش	qorayS
ترمیمی	tarmimi
آسمان	'AsemAn
تهاتری	tahAtori
بی‌هوازی	bihavAzi
عطرآگین	'atrAgin
جلودار	jelowdAr
دبش	debS
طبیعی‌‌دان	tabi'idAn
زله	zelle
سنبه	sonbe
نیکخواه	nikxAh
میرزاخانی	mirzAxAni
ژنده	Zende
مقبل	moqbel
مشفقانه	moSfeqAne
میرجاوه	mirjAve
مزون	mezon
تعطیلات	ta'tilAt
مقاتله	moqAtele
میانه‌حال	miyAnehAl
دوشا	duSA
تماشاچی	tamASACi
بوم‌شناسی	bumSenAsi
عالی‌‌نژاد	'AlineZAd
نهی‌کننده	nahykonande
نقطه‌ویرگول	noqtevirgul
موشک	muSak
غزلخوان	qazalxAn
خوش‌طینت	xoStinat
صداوسیما	sedA'osimA
در‌قبال	darqebAle
روس	rus
خداپرست	xodAparast
تعارض	ta'Aroz
چهارساله	CAhArsAle
علیل	'alil
بابت	bAbat
کمرگاه	kamargAh
فتاوی	fatAvi
لمعات	loma'At
بودجه‌ریزی	budjerizi
مدولاسیون	medulAsiyon
تبلیغی	tabliqi
تفاریق	tafAriq
نیک‌اختر	nikaxtar
همگن‌سازی	hamgensAzi
مشایخی	maSAyexi
پیروزمند	piruzmand
زابلی	zAboli
پرهام	parhAm
داروساز	dArusAz
شارل	SArl
نوستالژیک	nostAloZik
باسوادی	bAsavAdi
مطلب	matlab
عبداللطیف	'adbollatif
الزام‌آور	'elzAmAvar
کاتالیزور	kAtAlizor
عنقریب	'anqarib
حلال‌زاده	halAlzAde
بازشناخت	bAzSenAxt
دمبک	dombak
اخطارنامه	'extArnAme
ابراهیمی	'ebrAhimi
تشبیه	taSbih
روبید	rubid
لش	laS
در‌نتیجه	darnatije
جیمی	jimi
دادستان	dAdsetAn
مستدل	mostadall
وهاب	vahhAb
نفتخوار	naftxAr
منتظره	montazere
لایب‌نیتس	lAybnits
رعاف	ro'Af
محیا	mahyA
متوضا	motavazzA
واقع‌شده	vAqe'Sode
بخش‌یاب	baxSyAb
پررقابت	porreqAbat
مولود	mowlud
غیرایرانی	qeyre'irAni
سرپایان	sarpAyAn
شب‌‌پره	Sabpare
هم‌وطن	hamvatan
پاسپورت	pAsport
خطری	xatari
کمون	komon
سکوب	sakkub
ناعمه	nA'eme
ترمینال	terminAl
لشگر	laSgar
بی‌فکری	bifekri
بیات	bayAt
اصفهانی	'esfahAni
تکه‌تکه	tekketekke
دیوان	divAn
کاج	kAj
چهاریک	CAhAryek
وانیلی	vAnili
رمه	rame
ویراست	virAst
خطیبی	xatibi
عزیز	'aziz
منتقل	montaqel
اسید	'asid
ذلیل	zalil
مژدگانی	moZdegAni
کنترل	kontorol
امتعه	'amta'e
موم	mum
رقت‌آور	reqqatAvar
لوستر	luster
مشاع	moSA'
سمبولیسم	sambolism
مالکوم	mAlkom
نجفعلی	najaf'ali
زانویی	zAnuyi
عنصری	'onsori
آنارشیستی	'AnArSisti
پولادگر	pulAdgar
مضاف‌الیه	mozAfon'elayh
عرف	'orf
حاشیه‌سازی	hASiyesAzi
شیرمست	Sirmast
بی‌اعتبار	bi'e'tebAr
ضرار	zarAr
ملامحسن	mollAmohsey
معنا‌داری	ma'nAdAri
برائت	berA'at
نیا	niyA
اسقف‌نشین	'osqofneSin
توغل	tavaqqol
سکه‌ای	sekke'i
خدابیامرز	xodAbiyAmorz
سیاه‌زخم	siyAhzaxm
پیراپزشکی	pirApezeSki
میری	miri
ارسال‌المثل	'ersAlolmasal
بقالی	baqqAli
سلسیوس	selsiyus
پندشنو	pandSenow
معنی‌داری	ma'nidAri
تندرو	tondro
هجوگویی	hajvguyi
صدرالشعرا	sadroSSo'arA
آلرژیک	'AlerZik
آزمون	'Azmun
هوسانه	havasAne
پاریز	pAriz
افشارفر	'afSArfar
مسلمیان	moslemiyAn
رویزیونیست	revizyonist
هلیله	halile
اول	'avval
آزمودنی	'Azmudani
جنب	janb
میلسنگ	milsang
گوش	guS
سرحدی	sarhaddi
سادیست	sAdist
تلیت	tilit
گلیسمی	gelisemi
کم‌‌خرج	kamxarj
سحرخیزی	saharxizi
اسکاف	'eskAf
انتهایی	'entehAyi
تنظیف	tanzif
جمال‌الدین	jamAleddin
مغز	maqz
سوم‌‌شخص	sevvomSaxs
سیلیکن	silikon
